name,link,calories,protein,fats,carbohydrates,weight
Яблочный пирог,https://www.iamcook.ru/showrecipe/19439,277.19,3.45,10.7,41.35
Мясные тефтели,https://saveda.ru/recipe/tefteli-s-risom-v-tomatnom-souse/,183.4,9.17,12.19,3.83
